Date,RegionName,State,Metro,SizeRank,Zri,MoM,QoQ,YoY,ZriRecordCnt
1/31/2020,Otero County,NM,Alamogordo,710,904,-0.0187,-0.0418,-0.0663,20633
1/31/2020,Pittsylvania County,VA,Danville,711,1102,0.0055,-0.0241,0.0011,20969
1/31/2020,Tehama County,CA,Red Bluff,712,1235,-0.0061,-0.0386,0.0731,19138
1/31/2020,Liberty County,GA,Hinesville,713,975,0.0004,0.015,0.045,23764
1/31/2020,Sampson County,NC,,714,1008,0.001,0.0254,0.0618,15727
1/31/2020,Lewis and Clark County,MT,Helena,715,1221,-0.006,0.0167,-0.0044,25853
1/31/2020,Montcalm County,MI,Grand Rapids-Wyoming,716,886,0.021,0.0221,0.0099,1832
1/31/2020,Columbia County,NY,Hudson,717,1583,-0.0275,-0.0795,-0.0257,29976
1/31/2020,Chippewa County,WI,Eau Claire,718,962,0.0047,-0.0458,0.015,4148
1/31/2020,Sauk County,WI,Baraboo,719,907,-0.0118,0.0189,-0.0346,2453
1/31/2020,Crawford County,AR,Fort Smith,720,752,-0.0265,0.0031,-0.0019,13892
1/31/2020,Kershaw County,SC,Columbia,721,1146,-0.0155,-0.0235,-0.0536,15208
1/31/2020,Ward County,ND,Minot,722,891,-0.0133,-0.0308,-0.0532,3616
1/31/2020,Saint Joseph County,MI,Sturgis,723,968,0.0012,-0.0048,0.0339,14179
1/31/2020,Tipton County,TN,Memphis,724,1059,0.0133,0.0123,0.042,21856
1/31/2020,Starr County,TX,Rio Grande City,725,1169,-0.0021,0.0045,0.0126,7129
1/31/2020,Sandusky County,OH,Fremont,726,987,0.0015,-0.0039,0.0383,21958
1/31/2020,Knox County,OH,Mount Vernon,727,957,0.0137,0.0041,0.0363,22960
1/31/2020,Mason County,WA,Shelton,728,1410,-0.002,0.0238,0.0599,21790
1/31/2020,Garfield County,OK,Enid,729,852,0.0036,0.0085,-0.0175,23560
1/31/2020,Oldham County,KY,Louisville/Jefferson County,730,1458,-0.0186,-0.0286,-0.023,20663
1/31/2020,Jackson County,IL,Carbondale-Marion,731,696,0.0124,0.0003,-0.0948,15807
1/31/2020,Georgetown County,SC,Georgetown,732,1407,-0.0041,-0.0282,-0.0568,24821
1/31/2020,Belknap County,NH,Laconia,733,1353,-0.0048,-0.0162,-0.0156,33969
1/31/2020,Genesee County,NY,Batavia,734,1321,0.0019,-0.0216,-0.0062,20064
1/31/2020,Lowndes County,MS,Columbus,735,899,0.0097,0.0098,-0.0257,2515
1/31/2020,Warrick County,IN,Evansville,736,1102,0.0007,0.0042,0.0324,23419
1/31/2020,Barry County,MI,Grand Rapids-Wyoming,737,1069,-0.0184,-0.0271,-0.0316,21189
1/31/2020,Wise County,TX,Dallas-Fort Worth-Arlington,738,1365,-0.0001,0.0593,0.0716,19428
1/31/2020,Haywood County,NC,Asheville,739,1197,-0.0065,0,-0.001,28963
1/31/2020,Clay County,MN,Fargo,740,1027,-0.005,0.0404,0.0672,8266
1/31/2020,Laurel County,KY,London,741,869,0.0079,0.0193,0.0216,17264
1/31/2020,Walla Walla County,WA,Walla Walla,742,1256,-0.0115,-0.0615,0.0357,19660
1/31/2020,Hall County,NE,Grand Island,743,956,-0.0034,-0.0383,-0.0632,18776
1/31/2020,Tooele County,UT,Salt Lake City,744,1369,0.0122,0.0341,0.002,21672
1/31/2020,Columbus County,NC,,745,1135,0.0048,0.0423,0.0875,14948
1/31/2020,Lee County,NC,Sanford,746,992,0.0238,0.0593,0.0561,22228
1/31/2020,Oxford County,ME,,747,1248,0.017,0.0888,-0.0158,11131
1/31/2020,Carter County,TN,Johnson City,748,822,-0.0121,0.0281,-0.0251,19549
1/31/2020,Pike County,PA,New York-Newark-Jersey City,749,1322,-0.0019,-0.0068,0.0169,45761
1/31/2020,Blount County,AL,Birmingham-Hoover,750,925,0.009,-0.0368,-0.0023,16596
1/31/2020,Otter Tail County,MN,Fergus Falls,751,861,-0.0143,-0.0124,-0.0864,31930
1/31/2020,Columbia County,WI,Madison,752,1013,0.0092,0.0119,0.0045,4366
1/31/2020,Windsor County,VT,Claremont-Lebanon,753,1443,-0.0252,-0.024,-0.0122,7389
1/31/2020,Boone County,IN,Indianapolis-Carmel-Anderson,754,1391,0.0062,0.023,0.0202,24345
1/31/2020,Edgecombe County,NC,Rocky Mount,755,610,-0.0018,-0.0104,-0.0319,16894
1/31/2020,Marion County,WV,Fairmont,756,848,-0.0033,0.0662,0.0292,23133
1/31/2020,Garfield County,CO,Glenwood Springs,757,1959,0.0135,0.0052,0.0318,20052
1/31/2020,Cumberland County,TN,Crossville,758,1076,-0.0265,-0.0143,0.0421,23913
1/31/2020,Broomfield County,CO,Denver-Aurora-Lakewood,759,1830,0.0008,-0.0093,-0.0073,18160
1/31/2020,Pearl River County,MS,Picayune,760,908,-0.0091,-0.0031,-0.0158,21047
1/31/2020,Lamar County,MS,Hattiesburg,761,999,0.0118,0.0022,-0.0134,20554
1/31/2020,Saline County,KS,Salina,762,811,-0.0089,0.0308,-0.0261,19825
1/31/2020,Fulton County,NY,Gloversville,763,912,-0.0062,-0.0775,-0.1779,21963
1/31/2020,Kenai Peninsula Borough,AK,,764,1313,0.0266,0.0086,0.0057,28187
1/31/2020,Tuolumne County,CA,Sonora,765,1416,-0.016,-0.0247,-0.0006,47683
1/31/2020,Carson City,NV,Carson City,766,1279,0.0076,-0.0338,-0.0837,16578
1/31/2020,San Benito County,CA,San Jose-Sunnyvale-Santa Clara,767,2381,0.0182,-0.0599,-0.0317,10653
1/31/2020,Walton County,FL,Crestview-Fort Walton Beach-Destin,768,1949,0.0008,-0.0283,0.0303,43585
1/31/2020,Campbell County,VA,Lynchburg,769,868,-0.0024,0.0041,-0.0254,18932
1/31/2020,Hardin County,TX,Beaumont-Port Arthur,770,1130,-0.0159,0.0119,0.0238,17520
1/31/2020,Autauga County,AL,Montgomery,771,1133,0.0012,-0.0122,0.1309,18575
1/31/2020,Colbert County,AL,Florence-Muscle Shoals,772,832,-0.0148,0.003,-0.0255,20802
1/31/2020,Maverick County,TX,Eagle Pass,773,959,-0.0154,-0.0426,-0.1182,9865
1/31/2020,Boone County,IL,Rockford,774,1155,-0.022,-0.028,-0.0125,18805
1/31/2020,Chisago County,MN,Minneapolis-St. Paul-Bloomington,775,1414,0.0058,0.0391,-0.0115,20674
1/31/2020,Gila County,AZ,Payson,776,1146,0.0051,-0.0438,-0.0918,24073
1/31/2020,Jefferson County,WV,Washington-Arlington-Alexandria,777,1380,0.0001,0.0101,0.0305,23511
1/31/2020,Rusk County,TX,Longview,778,1237,-0.0059,-0.0051,-0.001,14503
1/31/2020,Jackson County,AL,Scottsboro,779,923,0.0025,0.0146,0.0149,16767
1/31/2020,Russell County,AL,Columbus,780,863,-0.0007,0.037,0.0233,18919
1/31/2020,Knox County,IL,Galesburg,781,936,-0.0291,-0.0203,-0.0245,20427
1/31/2020,Wayne County,PA,,782,1127,0.0003,-0.0108,-0.0691,25299
1/31/2020,Coffee County,TN,Tullahoma-Manchester,783,1014,-0.0158,-0.0511,-0.0471,18975
1/31/2020,Van Zandt County,TX,,784,1103,0.0065,0.022,-0.0606,20256
1/31/2020,Grady County,OK,Oklahoma City,785,926,0.0052,0.0394,0.0816,17838
1/31/2020,Vernon Parish,LA,Fort Polk South,786,761,-0.0014,0.0051,-0.0098,1005
1/31/2020,Cass County,MI,South Bend-Mishawaka,787,989,0.0201,-0.0149,-0.0177,3497
1/31/2020,Pulaski County,MO,Fort Leonard Wood,788,892,0.0137,0.0202,0.0463,13392
1/31/2020,Effingham County,GA,Savannah,789,1114,-0.002,-0.0214,-0.0348,24229
1/31/2020,Pender County,NC,Wilmington,790,1362,0.0151,0.0643,0.0764,21249
1/31/2020,Eagle County,CO,Edwards,791,3287,-0.016,-0.0069,0.0112,33542
1/31/2020,Saint Martin Parish,LA,Lafayette,792,909,-0.0138,-0.0428,-0.1501,16032
1/31/2020,Lyon County,NV,Fernley,793,1501,-0.0063,-0.0017,0.0444,18121
1/31/2020,Taney County,MO,Branson,794,903,-0.0143,-0.01,-0.0347,24478
1/31/2020,Franklin County,NY,Malone,795,1469,-0.0136,-0.0279,0.0304,16126
1/31/2020,Worcester County,MD,Salisbury,796,1392,0.0195,-0.0079,0.0361,59078
1/31/2020,Jefferson County,TN,Morristown,797,1003,-0.006,-0.0408,-0.0149,20583
1/31/2020,La Plata County,CO,Durango,798,1610,-0.0086,-0.0262,-0.0215,25293
1/31/2020,Grant County,WI,Platteville,799,870,-0.007,0.0064,-0.0231,1815
1/31/2020,Watauga County,NC,Boone,800,1323,-0.016,-0.0438,0.062,30941
1/31/2020,Washington County,OK,Bartlesville,801,891,0.0077,-0.0117,0.0894,19955
1/31/2020,Crittenden County,AR,Memphis,802,762,0.0012,-0.0016,-0.0972,15515
1/31/2020,Cherokee County,TX,Jacksonville,803,1293,0.0197,0.0199,0.1833,9109
1/31/2020,Camden County,GA,St. Marys,804,1074,-0.0055,-0.0181,0.0243,22742
1/31/2020,Dale County,AL,Ozark,805,818,-0.0025,0.0144,-0.0693,15566
1/31/2020,Montgomery County,NY,Amsterdam,806,894,0.0084,0.0367,-0.0388,17884
1/31/2020,Grundy County,IL,Chicago-Naperville-Elgin,807,1171,-0.0115,-0.0078,-0.0054,16654
1/31/2020,Dearborn County,IN,Cincinnati,808,1019,-0.0282,-0.0219,0.0519,18633
1/31/2020,Coffee County,AL,Enterprise,809,995,0.0229,0.0363,0.0857,20852
1/31/2020,Lamar County,TX,Paris,810,860,0.0274,0.0075,-0.1397,8656
1/31/2020,Bedford County,PA,,811,1018,0.0027,-0.0432,-0.0075,23358
1/31/2020,Kerr County,TX,Kerrville,812,1351,0.0137,0.0074,-0.0251,13785
1/31/2020,Boyd County,KY,Huntington-Ashland,813,847,-0.0207,-0.0219,-0.0346,13325
1/31/2020,Franklin County,KY,Frankfort,814,835,-0.0045,0.0254,-0.0116,11697
1/31/2020,Clinton County,IA,Clinton,815,667,-0.0288,-0.0318,-0.0315,9164
1/31/2020,Allegany County,NY,,816,1297,0.0014,-0.011,0.0327,18254
1/31/2020,Elko County,NV,Elko,817,1248,-0.0025,-0.0062,0.0119,12314
1/31/2020,Warren County,MS,Vicksburg,818,857,0.0219,-0.0316,-0.1398,17015
1/31/2020,Jessamine County,KY,Lexington-Fayette,819,1107,0.0258,0.0627,0.0249,11628
1/31/2020,Loudon County,TN,Knoxville,820,1488,-0.0052,0.0419,0.1441,21029
1/31/2020,Newaygo County,MI,,821,918,-0.0095,-0.028,-0.0059,2204
1/31/2020,Laurens County,GA,Dublin,822,960,0.0162,0.0106,0.0937,15109
1/31/2020,Curry County,NM,Clovis,823,855,-0.001,0.0057,-0.0878,4838
1/31/2020,Delaware County,NY,,824,1531,-0.0136,-0.0227,0.0653,20601
1/31/2020,Carroll County,NH,,825,1420,-0.0124,-0.0498,-0.0566,39613
1/31/2020,Macoupin County,IL,St. Louis,826,896,-0.0121,-0.0011,-0.0069,1125
1/31/2020,Beaufort County,NC,Washington,827,1070,0.0005,-0.0014,-0.0125,19150
1/31/2020,Franklin County,VT,Burlington-South Burlington,828,1634,0.0075,0.0217,0.0485,4846
1/31/2020,Oktibbeha County,MS,Starkville,829,904,0.0162,-0.0291,0.0076,2605
1/31/2020,Noble County,IN,Kendallville,830,924,-0.0179,-0.0045,0.0114,16304
1/31/2020,Osage County,OK,Tulsa,831,911,0.0156,-0.0135,-0.0158,15364
1/31/2020,Stokes County,NC,Winston-Salem,832,1162,0.0082,-0.0141,0.0365,14346
1/31/2020,Scott County,KY,Lexington-Fayette,833,1086,-0.0283,-0.0156,0.0256,13161
1/31/2020,Douglas County,NV,Gardnerville Ranchos,834,1824,-0.0208,-0.0233,0.0203,23505
1/31/2020,Hoke County,NC,Fayetteville,835,1117,-0.0041,0.0049,0.0512,19095
1/31/2020,Hopkins County,KY,Madisonville,836,799,0.0093,0.0005,0.0069,15252
1/31/2020,Lincoln Parish,LA,Ruston,837,914,-0.0064,-0.0503,-0.0639,12676
1/31/2020,Chesterfield County,SC,,838,990,0.0017,-0.0013,-0.0244,5912
1/31/2020,Mifflin County,PA,Lewistown,839,989,0.0031,0.0241,0.0805,11252
1/31/2020,Richmond County,NC,Rockingham,840,959,0.0188,0.0238,0.0353,15361
1/31/2020,Kay County,OK,Ponca City,841,685,0.0086,-0.0316,-0.0988,16468
1/31/2020,Henderson County,KY,Evansville,842,852,-0.0014,0.024,0.0314,14296
1/31/2020,Warren County,IA,Des Moines-West Des Moines,843,1086,-0.0188,-0.0324,-0.0526,19839
1/31/2020,Goodhue County,MN,Red Wing,844,1022,-0.0289,-0.0143,-0.1766,2872
1/31/2020,Iron County,UT,Cedar City,845,1057,-0.002,-0.0205,0.0047,5729
1/31/2020,Lawrence County,IN,Bedford,846,904,-0.0045,-0.0221,0.0119,18255
1/31/2020,Buffalo County,NE,Kearney,847,1196,0.0184,-0.0272,0.0245,15704
1/31/2020,Fayette County,WV,Beckley,848,756,-0.001,-0.0014,-0.0134,17748
1/31/2020,Lincoln County,OR,Newport,849,1569,0.0158,0.0392,0.0749,25744
1/31/2020,Medina County,TX,San Antonio-New Braunfels,850,1314,0.0184,0.0114,0.0238,12538
1/31/2020,Perry County,PA,Harrisburg-Carlisle,851,891,-0.0005,-0.0525,-0.1583,15998
1/31/2020,Auglaize County,OH,Wapakoneta,852,963,-0.004,-0.0002,0.0484,15974
1/31/2020,Huntingdon County,PA,Huntingdon,853,968,0.0047,0.0022,0.019,13472
1/31/2020,Logan County,OH,Bellefontaine,854,939,0.0049,-0.0008,0.0238,17960
1/31/2020,Pittsburg County,OK,McAlester,855,799,0.0089,-0.0421,-0.001,16188
1/31/2020,Baldwin County,GA,Milledgeville,856,933,0.0122,0.0318,0.0792,15272
1/31/2020,Calaveras County,CA,,857,1594,0.0017,0.0195,0.0383,25375
1/31/2020,Colquitt County,GA,Moultrie,858,1018,-0.0035,-0.0006,0.0173,6726
