Zipcode,State,CountyName,State Latitude,State Longitude,ZipLatitude,ZipLongitude
32140,FL,Putnam County,27.994402,-81.760254,29.73,-81.88
92091,CA,San Diego County,36.778259,-119.417931,33.05,-117.19
13146,NY,Seneca County,43,-75,43.09,-76.75
3886,NH,Carroll County,44,-71.5,43.85,-71.26
28399,NC,Bladen County,35.782169,-80.793457,34.74,-78.7
14040,NY,Genesee County,43,-75,42.89,-78.39
56088,MN,Martin County,46.39241,-94.63623,43.82,-94.43
11960,NY,Suffolk County,43,-75,40.89,-72.42
74840,OK,Pottawatomie County,36.084621,-96.921387,35.32,-96.79
27860,NC,Beaufort County,35.782169,-80.793457,35.58,-76.65
5680,VT,Lamoille County,44,-72.699997,44.55,-72.47
50458,IA,Floyd County,42.032974,-93.581543,43.14,-93
54519,WI,Vilas County,44.5,-89.5,46.04,-89.25
76861,TX,Runnels County,31,-100,31.6,-100.18
22922,VA,Nelson County,37.926868,-78.024902,37.68,-78.9
83427,ID,Bonneville County,44.068203,-114.742043,43.52,-111.92
74561,OK,Pittsburg County,36.084621,-96.921387,35.12,-95.36
12910,NY,Clinton County,43,-75,44.89,-73.65
49726,MI,Chippewa County,44.182205,-84.506836,46,-83.67
38345,TN,Henderson County,35.860119,-86.660156,35.58,-88.5
48435,MI,Lapeer County,44.182205,-84.506836,43.25,-83.37
49406,MI,Allegan County,44.182205,-84.506836,42.64,-86.21
16374,PA,Venango County,41.203323,-77.194527,41.27,-79.85
76271,TX,Grayson County,31,-100,33.47,-96.91
42712,KY,Grayson County,37.839333,-84.27002,37.55,-86.15
49733,MI,Crawford County,44.182205,-84.506836,44.78,-84.73
50864,IA,Montgomery County,42.032974,-93.581543,40.93,-94.97
47963,IN,Newton County,40.273502,-86.126976,40.94,-87.45
71860,AR,Lafayette County,34.799999,-92.199997,33.35,-93.49
40374,KY,Bath County,37.839333,-84.27002,38.2,-83.92
10505,NY,Westchester County,43,-75,41.32,-73.74
17407,PA,York County,41.203323,-77.194527,39.96,-76.73
54529,WI,Oneida County,44.5,-89.5,45.66,-89.65
66733,KS,Neosho County,38.5,-98,37.56,-95.24
27829,NC,Pitt County,35.782169,-80.793457,35.67,-77.63
17876,PA,Snyder County,41.203323,-77.194527,40.85,-76.82
98843,WA,Douglas County,47.751076,-120.740135,47.72,-120.15
18438,PA,Wayne County,41.203323,-77.194527,41.43,-75.27
39747,MS,Montgomery County,33,-90,33.43,-89.56
62898,IL,Jefferson County,40,-89,38.33,-89.03
66413,KS,Osage County,38.5,-98,38.75,-95.83
12783,NY,Sullivan County,43,-75,41.75,-74.77
58563,ND,Morton County,47.650589,-100.437012,46.84,-101.41
37694,TN,Carter County,35.860119,-86.660156,36.36,-82.29
62814,IL,Jefferson County,40,-89,38.32,-88.73
7418,NJ,Sussex County,39.833851,-74.871826,41.24,-74.48
55939,MN,Fillmore County,46.39241,-94.63623,43.55,-92
61012,IL,Boone County,40,-89,42.39,-88.74
16313,PA,Warren County,41.203323,-77.194527,41.78,-79.09
52755,IA,Johnson County,42.032974,-93.581543,41.48,-91.42
54410,WI,Wood County,44.5,-89.5,44.54,-90.03
30420,GA,Tattnall County,33.247875,-83.441162,32.28,-82.13
30810,GA,Glascock County,33.247875,-83.441162,33.23,-82.59
96716,HI,Kauai County,19.741755,-155.844437,21.91,-159.59
70631,LA,Cameron Parish,30.39183,-92.329102,29.79,-93.29
16259,PA,Armstrong County,41.203323,-77.194527,40.94,-79.45
95444,CA,Sonoma County,36.778259,-119.417931,38.43,-122.86
50647,IA,Bremer County,42.032974,-93.581543,42.64,-92.46
