,state_abbrev,county,McDonaldsCount
662,OR,Jackson,7
663,OR,Lane,19
664,OR,Marion,18
665,OR,Multnomah,26
666,OR,Polk,3
667,OR,Umatilla,5
668,OR,Washington,21
669,PA,Allegheny,49
670,PA,Berks,16
671,PA,Blair,9
672,PA,Bucks,26
673,PA,Chester,16
674,PA,Columbia,5
675,PA,Cumberland,14
676,PA,Delaware,21
677,PA,Erie,15
678,PA,Lebanon,8
679,PA,Lehigh,13
680,PA,Luzerne,17
681,PA,Montour,1
682,PA,Northampton,10
683,PA,Philadelphia,39
684,PA,Venango,3
685,PA,York,22
686,RI,Bristol,1
687,RI,Kent,6
688,RI,Providence,19
689,SC,Anderson,7
690,SC,Bamberg,1
691,SC,Beaufort,8
692,SC,Charleston,18
693,SC,Cherokee,4
694,SC,Chester,2
695,SC,Dorchester,8
696,SC,Edgefield,2
697,SC,Florence,11
698,SC,Georgetown,2
699,SC,Greenville,24
700,SC,Greenwood,3
701,SC,Horry,19
702,SC,Jasper,2
703,SC,Kershaw,3
704,SC,Lancaster,2
705,SC,Lee,1
706,SC,Lexington,14
707,SC,Pickens,3
708,SC,Richland,18
709,SC,Saluda,1
710,SC,Williamsburg,2
711,SC,York,12
712,SD,Brule,1
713,SD,Clay,1
714,SD,Davison,2
715,SD,Hughes,1
716,SD,Pennington,5
717,TN,Anderson,5
718,TN,Benton,1
719,TN,Bledsoe,1
720,TN,Blount,6
721,TN,Bradley,6
722,TN,Campbell,2
723,TN,Cannon,1
724,TN,Chester,1
725,TN,Coffee,2
726,TN,Davidson,33
727,TN,De Kalb,1
728,TN,Dickson,4
729,TN,Dyer,2
730,TN,Gibson,4
731,TN,Hamblen,5
732,TN,Hamilton,16
733,TN,Hawkins,3
734,TN,Haywood,1
735,TN,Henderson,2
736,TN,Humphreys,2
737,TN,Jefferson,4
738,TN,Knox,25
739,TN,Lauderdale,1
740,TN,Lewis,1
741,TN,Macon,1
742,TN,Marion,3
743,TN,Marshall,2
744,TN,Maury,8
745,TN,McMinn,2
746,TN,Montgomery,7
747,TN,Putnam,4
748,TN,Roane,3
749,TN,Robertson,3
750,TN,Rutherford,16
751,TN,Sequatchie,1
752,TN,Shelby,46
753,TN,Sullivan,10
754,TN,Sumner,6
755,TN,Trousdale,1
756,TN,Unicoi,1
757,TN,Union,1
758,TN,Washington,8
759,TN,Weakley,3
760,TN,White,1
761,TN,Williamson,7
762,TN,Wilson,7
763,TX,Andrews,1
764,TX,Angelina,4
765,TX,Bailey,1
766,TX,Bastrop,4
767,TX,Bell,19
768,TX,Bexar,89
769,TX,Brazoria,15
770,TX,Brazos,12
771,TX,Brooks,2
772,TX,Burnet,2
773,TX,Calhoun,1
774,TX,Callahan,1
775,TX,Cameron,21
776,TX,Childress,1
777,TX,Collin,34
778,TX,Comal,8
779,TX,Dallam,1
780,TX,Dallas,118
781,TX,Dawson,1
782,TX,De Witt,2
783,TX,Deaf Smith,1
784,TX,Denton,38
785,TX,Dimmit,1
786,TX,Ector,7
787,TX,Ellis,7
788,TX,Fayette,3
789,TX,Fort Bend,27
790,TX,Franklin,1
791,TX,Frio,1
792,TX,Galveston,21
793,TX,Garza,1
794,TX,Gregg,7
795,TX,Guadalupe,5
796,TX,Harris,195
797,TX,Harrison,4
798,TX,Hays,8
799,TX,Hidalgo,33
800,TX,Hood,3
801,TX,Hunt,4
802,TX,Jefferson,14
803,TX,Johnson,6
804,TX,Kimble,1
805,TX,Kleberg,3
806,TX,La Salle,1
807,TX,Lampasas,1
808,TX,Liberty,4
809,TX,Lubbock,20
810,TX,Marion,1
811,TX,Maverick,4
812,TX,Medina,3
813,TX,Midland,8
814,TX,Montgomery,25
815,TX,Moore,1
816,TX,Nueces,21
817,TX,Ochiltree,1
818,TX,Potter,5
819,TX,Randall,8
820,TX,Rockwall,4
821,TX,San Augustine,1
822,TX,San Patricio,6
823,TX,Smith,12
824,TX,Stephens,1
825,TX,Tarrant,86
826,TX,Terry,1
827,TX,Travis,39
828,TX,Webb,16
829,TX,Wharton,5
830,TX,Wichita,8
831,TX,Williamson,21
832,TX,Wood,2
833,UT,Beaver,1
834,UT,Davis,14
835,UT,Grand,1
836,UT,Salt Lake,49
837,UT,Utah,18
838,UT,Wasatch,1
839,UT,Weber,12
840,VA,Albemarle,6
841,VA,Alexandria City,8
842,VA,Alleghany,2
843,VA,Amelia,1
844,VA,Bedford City,1
845,VA,Bristol City,1
846,VA,Buckingham,1
847,VA,Campbell,2
848,VA,Carroll,2
849,VA,Chesapeake City,11
850,VA,Chesterfield,14
851,VA,Clarke,2
852,VA,Colonial Heights City,3
853,VA,Danville City,4
854,VA,Emporia City,1
855,VA,Fairfax,48
856,VA,Franklin City,1
857,VA,Frederick,6
858,VA,Galax City,1
859,VA,Greene,1
860,VA,Greensville,1
861,VA,Hampton City,9
862,VA,Hanover,6
863,VA,Harrisonburg City,4
864,VA,Henrico,15
865,VA,Henry,2
866,VA,Hopewell City,2
867,VA,James City,2
868,VA,King William,1
869,VA,Loudoun,14
870,VA,Louisa,2
871,VA,Manassas City,4
872,VA,Manassas Park City,2
873,VA,Martinsville City,2
874,VA,Newport News City,8
875,VA,Norfolk City,15
876,VA,Norton City,1
877,VA,Orange,2
878,VA,Page,2
879,VA,Petersburg City,2
880,VA,Poquoson City,1
881,VA,Powhatan,2
882,VA,Prince William,19
883,VA,Pulaski,2
884,VA,Radford City,1
885,VA,Roanoke,3
886,VA,Russell,2
887,VA,Salem City,3
888,VA,Shenandoah,3
889,VA,Spotsylvania,4
890,VA,Stafford,9
891,VA,Staunton City,2
892,VA,Suffolk City,4
893,VA,Tazewell,5
894,VA,Virginia Beach City,18
895,VA,Warren,2
896,VA,Washington,4
897,VA,Waynesboro City,2
898,VA,Williamsburg City,4
899,VA,Winchester City,5
900,VA,Wise,3
901,VA,Wythe,3
902,VA,York,2
903,WA,Adams,2
904,WA,Asotin,1
905,WA,Benton,9
906,WA,Clark,15
907,WA,Cowlitz,4
908,WA,Island,2
909,WA,King,75
910,WA,Kitsap,11
911,WA,Pierce,33
912,WA,Skagit,5
913,WA,Snohomish,30
914,WA,Spokane,25
